w,m
Niagara,尼亚加拉（河+瀑布）
Ottawa,渥太华（加拿大首都）
pearl,珍珠
penguin,企鹅
pleased,欣喜的+高兴的+愉快的
polar,极地的+近极地的
prime,首要的+主要的+基本的
prime minister,首相+丞相
quiz,测验+问答比赛
rather than,与其+不愿
scenery,景色+风景
schoolmate,同学+校友
settle down,定居+平静下来+专心于
slight,轻微的+微小的
slightly,稍稍+轻微地
St Lawrence River,圣劳伦斯河
stampede,（美国西部或加拿大）大西部赛马会
surround,包围+围绕
surround,包围+围绕
terrified,恐惧的+受惊吓的
terrify,使恐怖+恐吓
the Rocky Mountains,落基山脉
the Vatican City State,梵蒂冈城国
Thunder Bay,桑德湾
topic,话题
Toronto,多伦多（加拿大城市）
tradition,传统+风俗
upward,上升的+向上的
upward,向上地+上升地
urban,城市的+市镇的
Vancouver,温哥华（加拿大城市）
wealthy,富有的
westward,向西的+朝西的
westward,向西
within,在……之内
workplace,工作场所+工作地点
 intend,计划+打算
achievement,成就+功绩
argue,讨论+辩论+争论
argument,争论+争辩+争吵
audience,观众+听众+读者
behave,举动+（举止或行为）表现
behave,举动+（举止或行为）表现
behaviour ,(=behavior)行为+举止+习性
bond,联系+关系+结合+纽带
by chance,碰巧+凑巧
campaign,运动+战役
campaign,作战+参加运动
career ,事业+生涯
carry on,继续+坚持
childhood,童年+幼年时代
chimp,（非洲）黑猩猩
China Welfare Institute,中国福利基金会
come across,（偶然）遇见+碰见
connection,连接+关系
considerate,考虑周到的
consideration,考虑+体谅
crowd,人群+观众
crowd,挤满+使拥挤
crowd in,（想法、问题等）涌上心头+涌入脑海
deliver,递送+生（小孩儿）+接生+发表（演说等）
determination,决心+果断
Elizabeth Fry,伊莉莎白﹒弗赖伊（英国慈善家）
emergency,突发事件+紧急情况
entertainment,款待+娱乐+娱乐表演
generation,一代+一辈
Gombe National Park,贡贝国家公园
human being,人类
inspiration,灵感+鼓舞
inspire,鼓舞+激发+启示
institute,学会+学院+协会
Jane Goodall,简﹒古道尔（英国动物学家）
Joan of Arc,圣女贞德（法国民族女英雄）
Jody Williams,乔迪﹒威廉斯（美国诺贝尔和平奖获得者）
kindness,仁慈+好意
landmine,地雷
lead a… life,过着…的生活
look down upon/on,蔑视+瞧不起
modest,谦虚的+谦让的+适度的
move off,离开+起程+出发
nest,巢+窝
observation,观察 +观测
observe,观察+观测+遵守
organization,组织+机构+团体
outspoken,直言的+坦诚的
project,项目+工程+规划
Quaker,教友派信徒+贵格会会员
rate,比率+速度
refer,谈到+查阅+参考
refer to,查阅+参考+谈到
respect,尊敬+尊重+敬意
respect,尊敬+尊重+敬意
shade,荫+阴凉处
shade,遮住光线
sickness,疾病+恶心
specialist,专家+专业工作者
specialize,专政+专门从事+专注于
support,支持+拥护
support,支持+拥护
welfare,福利+福利事业
worthwhile,值得的+值得做的
bacteria,（bacterium的复数形式）细菌
battle ,战役+战斗+较量+斗争
battle ,搏斗+奋斗
battle ,搏斗+奋斗
be satisfied with,对……满意
build up,逐渐增强+建立+开发
chemical,化学的+关于化学的
circulate,循环+流传
circulate,循环+流传
comment,评论+议论
comment,表达意见+作出评论
comment,表达意见+作出评论
confuse,使迷惑+使为难
crop,庄稼+农作物+产量
decade,十年+十年期
discovery,发现+发觉
disturbing,引起烦恼的+令人不安的
equip,配备+装备
equip,配备+装备
expand,变大+伸展
expand,使变大+伸展
export,输出+出口
export,输出+出口
fertile,肥沃的+富饶的
fertilizer,肥料+化肥
focus ,焦点+中心点
focus ,集中+聚焦
focus on,集中（注意力、精力等）于
freedom,自由+自主
grain,谷物+粮食+颗粒
hunger,饥饿+欲望
hunger,(使）饥饿
hunger,(使）饥饿
hybrid,混合的+杂种的
industrial,工业的+产业的
keep…free from/of,使……免受+使……不含有害物
lead to,导致+造成（后果）
mineral,矿物+矿石
nationality,国籍
nutrition,营养+滋养+食物
occupation,工作+职业+占领
organic,有机的+器官的+组织的
output,产量+输出
peanut,花生
personality,性格+个性+人格
pest,害虫+害兽+害鸟
producer,生产者+制片人
production,生产+制造
reduce,减少+减缩
regret,遗憾+懊悔
regret,遗憾+惋惜
rid,摆脱+除去
rid… of,摆脱+除去
root,根+根源
skim,浏览+略读
soil,土壤
sorghum,高粱
soybean,（=soyabean)大豆
statistics,（常用pl. statistics）数据+统计+统计数字+统计资料
strain,（植物的）品种+种类
struggle,斗争+拼搏+努力
struggle,斗争+拼搏+努力
summary,总结+摘要+概要
sunburnt,晒黑的
super,特级的+超级的
thanks to,幸亏+由于+因为
therefore,因此+所以+因而
underline,画底线标出+强调
Vietnam,越南（东南亚国家）
would rather,宁愿+宁可
actress,女演员
amuse,使发笑+使愉快
amusing,好笑的+有趣的
astonish,使惊诧
astonishing,令人感到惊讶的
badly off,穷的+缺少的
bored,厌烦的
brighten,使更愉快+使更有希望
budget,预算+开支
Charlie Chaplin,查理·卓别林（英国喜剧大师）
charming,迷人的+有魅力的
chew,嚼碎+咀嚼（食物）
chew,嚼碎+咀嚼（食物）
comedy,喜剧
confidence,信心+信念
content,满足的+满意的
content,满足
content,使满足
convince,使信服
convincing,令人信服的
costume,服装+戏装
cut off,切断+断绝
depressed,忧愁的+沮丧的
detective,侦探
direct,直的+直接的+直率的
direct,导演+指示+指挥
direct,导演+指示+指挥
Edward Lear,爱德华·李尔（英国作家、画家）
enjoyment,享受+欢乐+乐趣
entertain,使快乐+款待
entertaining,愉快的+有趣的
explanation,解释+讲解+说明
failure,失败（者）
feel/be content with,对……满足
fortunate,幸运的+吉利的
gesture,姿态+手势
gesture,做手势
homeless,无家的+无家可归的
humour,幽默+滑稽
lace,饰带+花边+鞋带
leather,皮革
mess,脏或乱的状态
mime,哑剧
mountainous,多山的+山一般的
moustache,小胡子
mouthful,一口+满口
nonverbal,不用语言的
occasion,时刻+场合
optimism,乐观+乐观主义
ordinary,平常的+普通的
Oscar,奥斯卡
outstanding,突出的+杰出的+显著的
overcome,战胜+克服
pancake,烙饼+薄饼
particular,特殊的+特别的
particular,细节+细目
particularly,特殊地+特别地
performer,表演者+演出者
pick out,挑出+辨别出
porridge,粥+麦片粥
punchline,故事、笑话等中的妙语+关键语
react,做出反应+回应
rhythm,节奏
Sherlock Homes,夏洛克·福尔摩斯
slide,滑+滑动+幻灯片
slide,滑动+滑行
slide,（使）滑动+（使）滑行
snowstorm,暴风雪
star in ,担任主角+主演
stiffly,僵硬地
subtle,微妙的+精巧的+技艺精湛的
Switzerland,瑞士（欧洲中部国家）
teens,十几岁（13至19岁的年龄）
throughout,到处+始终+全部
throughout,遍及+贯穿
tramp,流浪汉+行乞者
underdog,失败者+处于劣势的一方
unfortunately,不幸地
up to now,直到现在
vast,巨大的+辽阔的
verbal,口头的
Victor Hugo,维克多·雨果（法国文学家)
whisper,耳语+低语
whisper,低语+小声说
whisper,低语+小声说
worn,用旧的+用坏的+破烂的
worn-out,磨破的+穿旧的
adult,成人的+成熟的
adult,成人+成年人
Ahmed Aziz,艾哈迈德·阿齐兹
Akira Nagata,永田明
anger,怒气+怒火
approach,接近+方法+途径
approach,接近+靠近+走近
approach,接近+靠近+走近
association,社团+联系+联想
at ease,舒适+快活+自由自在
be likely to ,很可能……+有希望……
canteen,食堂
cassette,磁带
cheek,面颊
Colombia,哥伦比亚（南美洲国家）
crossroads,十字路口
curious,好奇的
curiously,好奇地
defence,防御+保卫
defend,保护+保卫
defend against,保卫……以免受
dormitory ,宿舍
ease,安逸+舒适
ease,减轻（痛苦、忧虑）
employee,雇员
facial,面部的
false ,错误的+假的
fist,拳头
flight,飞行+航班
frown,皱眉+蹙额
function,作用+功能+职能
function,起作用+运转
Garcia,加西亚（姓）
greet,迎接+问候
greet,迎接+问候
hug,拥抱
hug,拥抱
in general,总的来说+通常
Italy,意大利（欧洲国家）
Jordan,约旦（西亚国家）
likely,很可能
lose face,丢脸
major,主要的
misread,读错+误解
misunderstand,误解+误会
Muslim,穆斯林的+伊斯兰教信徒的
Muslim,穆斯林+伊斯兰教信徒
posture,姿势+体态
rank,等级+军衔
represent,代表+象征
respectful,恭敬的
simply,简单地+只
Spain,西班牙（欧洲国家）
spoken,口语的
statement ,陈述+说明
subjective,主观的
truly,真实地+真诚地+真正地
turn one's back to ,背对+背弃
unspoken,未说出的+非口语的
yawn,打呵欠
admission,允许进入+入场费+承认
advance,前进+促进+提前
advance,前进+促进+提前
advanced,高级的+先进的
amusement,消遣+娱乐(活动)
athletic,运动的
attraction,有吸引力的事物+吸引
bald,秃头的
be famous for,以……而闻名
be modelled after,根据……模仿+仿造
brand,商标+牌子
brochure,(宣传或介绍用的)小册子+指南
Camelot Park,卡默洛特公园(英国)
carpenter,木匠
cartoon ,漫画+动画片
central,中心的+中央的
Central Park,中央公园 (美国纽约)
cloth,布
come to life ,活跃起来
craftsman,匠人+能工巧匠
creature,生物+动物
deed,行动+事迹
diver,潜水员
Dollywood,多莱坞
engine,引擎+发动机
fairy tale,神话故事+童话
fantasy,幻想+怪念头
freeway,高速公路
Futuroscope,观测未来
get close to,接近
in advance,提前
joust,(中世纪骑士)骑着马用长矛打斗
jungle,丛林
knight,骑士+爵士
length,长度+长
Merlin the Wizard,魔术师梅林
minority,少数+少数民族
no wonder,难怪+不足为奇
outing,外出+短途旅行+远足
pirate,海盗+盗版
preserve,保护区
preserve,保存+保留
roller,过山车
settler,移民+殖民者
shuttle,往返汽车+航天飞机
sneaker,运动鞋
souvenir,纪念品
sunlight,阳光
swing,秋千+摇摆
swing,摇摆+摆动
sword,剑
theme,题目+主题(曲)
tourism,旅游业
tournament,锦标赛+联赛
translator,译员+翻译
T-Rex,(=Tyrannosaurus Rex)霸王龙
unique,独一无二的+仅有的
various,不同的+各种各样的
wherever,无论在什么地方+各处
whichever,无论哪一个+任何一个
(be) strict with…,对。。。严格的
absorb,吸引+吸收+使专心
analyse,分析
announce,宣布+通告
apart from,除。。。之外+此外
attend,照顾+护理+出席+参加
backward,向后的+相反的+退步的
backward(s),向后地+相反地+退步地
blame,过失+责备
blame,责备+谴责
brightness,明亮+亮度+聪颖
Cambridge Street,剑桥大街
cautious,小心的+谨慎的
certainty,确信+确实
challenge,挑战
challenge,向。。。挑战
characteristic,特征+特性
chart,图表
cholera,霍乱
clue,线索+提示
conclude,结束+推断出
conclude,结束+推断出
conclusion,结束+结论
construct,建设+修建
construction,建设+建筑物
contribute,捐献+贡献+捐助
contribute,捐献+贡献+捐助
co-operative,合作的
creative,有创造力的+创造性的+独创的
cure,治愈+痊愈
cure,治愈+治疗
deadly,致命的
defeat,失败
defeat,打败+战胜+使受挫
draw a conclusion,得出结论
enquiry,询问
enthusiastic,热情的+热心的
expert,熟练的+经验或知识丰富的
expert,专家+行家
expose,暴露+揭露+使曝光
expose…to,使显露+暴露
firework,烟火（燃放）
foresee,预见+预知
germ,微生物+细菌
handle,柄+把手
handle,处理+操纵
infect,传染+感染
infectious,传染的
instruct,命令+指示+教导
investgate,调查
investgate,调查
investigation,调查
link,连接+联系
link,连接+联系
link…to…,将。。。和。。。联系或连接起来
loop,圈+环
make sense,讲得通+有意义
movement,移动+运动+动作
neighbourhood,附近+邻近
Nicolaus Copernicus,尼古拉.哥白尼（波兰天文学家）
outbreak,爆发+发作（尤指疾病或战争）
painter,画家+油漆匠
physician,医生+内科医师
pollute,污染+弄脏
positive,积极的+肯定的+确实的
privately,私下地+秘密地
pump,泵+抽水机
pump,（用泵）抽（水）
put forward,提出
radium,镭
reject,拒绝+不接受+抛弃
responsible,有责任的+负责的
revolutionary,革命的+重大变革的
scientific,科学的
severe,严重的+剧烈的+严厉的
spin,旋转+纺（线或纱）
suspect,被怀疑者+嫌疑犯
suspect,认为+怀疑
universe,宇宙+世界
victim,受害者
accompolish,完成+达到+实现
administration,管理+行政部门
alike,相同的+类似的
Anglo-Saxon,盎格鲁-撒克逊人的
Anglo-Saxon,盎格鲁-撒克逊人
architecture,建筑学+建筑艺术
arrange,筹备+安排+整理
attract,吸引+引起注意
break away (from),挣脱（束缚）+脱离
break down,（机器）损坏+破坏
Buckingham Palace,白金汉宫
clarify,澄清+阐明
collection,收藏品+珍藏+收集
communism,共产主义
conflict,矛盾+冲突
consist ,组成+在于+一致
consist of,由……组成
consistent,一致的
convenience,便利+方便
countryside,乡下+农村
credit,信任+学分+赞扬+信贷
currency,货币+通货
delight,快乐+高兴+喜悦
delight,使高兴+使欣喜
description,描述+描写
divide…into,把……分成
educational,教育的
enjoyable,令人愉快的+使人高兴的
error,错误+过失+谬误
fax,传真（机）
fax,用传真传输（文件）
fold,折叠+对折
furnished,配备好装备的+带家具的
Greenwich,格林尼治（英城市）
Highgate Cemetery,海格特墓地
historical,历史的+历史上的+有关历史的
imaginary,想象中的+假象的+虚构的
institution,制度+机制+公共机构
kingdom,王国
leave out,省去+遗漏+不考虑
London Heathrow,伦敦希斯罗机场
longitude,经线+经度
Midlands,英格兰中部地区（英）
nationwide,全国性的+全国范围的
navigation,导航+航行
Norman,诺曼的+诺曼人（语）的
Norman,诺曼人+诺曼语
Northern Ireland,北爱尔兰（英）
opportunity,机会+时机
original,最初的+原始的+独创的+新颖的
plus,加的+正的+零上的
plus,加上+和
port,港口（城市）
possibility,可能（性）
pot,罐+壶
province, 省+行政区
quarrel,争吵+吵架
River Avon,埃文河
River Severn,塞文河
River Thames,泰晤士河
Roman,（古）罗马的
Roman,（古）罗马人
rough,粗糙的+粗暴的
roughly,粗略地+粗糙地
royal,王室的+皇家的+高贵的
Scotland,苏格兰（英）
sightseeing,观光+游览
splendid,壮丽的+辉煌的+极好的
St Paul's Cathedral,圣保罗大教堂
statue,塑像+雕像
take the place of,代替
tense,时态
the Union Jack,英国国旗
thrill,使激动+使胆战心惊
to one's credit,为……带来荣誉+值得赞扬+在……名下
uniform,制服
union,联合+联盟+结合+协会
unite,联合+团结
unite,联合+团结
unwilling,不愿意的+不乐意的
Viking,北欧海盗+斯堪的纳维亚人
Wales,威尔士（英）
wedding,婚礼
Westminster Abbey,威斯敏斯特教堂（英国名人墓地）
,争吵+争论+吵架
adjustment,调整+调节
alien,陌生的+外国人+外星球的
alien,外星人+外国人   
aspect,方面+层面
be back on one's feet,（困境后）恢复+完全复原
belt,腰带+皮带
button,纽扣+按钮
capsule,太空舱+胶囊
carriage,运输工具+四轮马车+客车
citizen,公民+居民+市民
combination,结合+组合
constant,时常发生的+接连不断的
constantly,不断地
desert,沙漠+荒原
disposal,清除+处理
dispose,布置+安排
dustbin,垃圾箱
ecology,生态+生态学
efficiency,效率+功率
efficient,功率高的+有能力的
enormous,巨大的+庞大的
etc,诸如此类+等等
exhaused,筋疲力尽的+疲惫不堪的
expertise,专家意见+专门知识（技能等）
fasten,系牢+扎牢
flash,闪光+闪现
flash,（使）闪光+（使）闪现
flashback,闪回+倒叙
goods,货物
greedy,贪吃的+贪婪的+贪心的
guide,指导+向导+导游 
guide,指引+指导
hover,盘旋
imitate,模仿+仿造
impression,印象+感想+印记
instant,立即的+立刻的
instant,瞬间+片刻  
jet,喷气式飞机
jet lag,飞行时差反应
lack,缺乏+短缺的东西
lack,缺乏+没有  
lack,缺乏+没有  
lose sight of…,看不见……
manufacture,（用机器）大量生产+成批制造
mask,面具+面罩+伪装
material,原料+材料
motivation,动机
moveable,可移动的+活动的
mud,泥（浆）
opening,（出入的）通路+开口+开端
optimistic,乐观（主义）的
pedal,踏板+脚蹬
pessimitic,悲观（主义）的
postage,邮资
postcode,邮政编码
press,按+压+印刷+新闻
press,按+压+逼迫 
press,按+压+逼迫  
previous,在前的+早先的
receiver,接受者+接收器+电话听筒
recycle,回收利用+再利用
representative,典型的+有代表性的
representative,代表+典型人物  
ribbon,丝带+带状物
safely belt,安全带
settlement,定居+解决
sideways,往（向、从）一侧+侧着+侧面朝前
slide into,（快捷而悄声地）移动+溜进……
speed up,加速
steward,乘务员+服务员
stewardess,女乘务员
surrounding,周围的
surroundings,周围的事物+环境
swallow,吞下+咽下
sweep up,打扫+横扫
switch,开关+转换  
switch, 转换
tablet,药片
take up,拿起+接受+开始+继续
timetable,时间表+时刻表
tolerate,容忍+忍受
typewriter,打字机
typist,打字员
uncertain,不确切的+无把握的
accurate,精确地+正确的
accusation,指责+谴责+控告
accuse,指责+谴责+控告
accuse …of,因……指责或控告……
acquire,获得+取得+学到
admirable,值得赞扬的+令人钦佩的
ahead of,在……前面
amateur,业余爱好者
appointment,约会+任命
approve,赞成+认可+批准
assess,评估+评定
assignment,任务+分配
assist,帮助+协助+援助
assistant,助手+助+售货员
case,情况+病例+案例
chief,主要的+首要的
chief,首领+长官
colleague,同事
concentrate,集中+聚集
concentrate,集中+聚集
concentrate on,集中+全神贯注于
concise,简明的+简练的
crime,罪行+犯罪
deadline,最后期限
deliberately,故意地
delighted,快乐的+欣喜的
delimma,（进退两难的）困境+窘境
demand,需求+要求
demand,强烈要求
demanding,要求很高的+费力的
deny,否认+拒绝
department,部门+部+处+系
depend on ,依靠+依赖
eager,渴望的+热切的
edition,版（本）+版次
editor,编辑
gifted,有天赋的
guilty,犯罪的+有罪的+内疚的
housewife,家庭主妇
idiomatic,惯用的+合乎语言习惯的
imaginative,富于想象力的
inform,告知+通知
interviewee,参加面试者+接受采访者
involve,牵涉+涉及+包括+使参与（卷入）……
jounalist,记者+新闻工作者
meanwhile,其间+同时
negative,否定的+消极的
negative,底片+否定
photograph,给...照相
photograph=photo,照片
photographer,摄影师
photography,摄影
polish,擦亮+磨光+润色
process,过程+程序+步骤
process,加工+处理
profession,职业+专业
professional,专业的+职业的
professional,专业人员
publish,出版+发行+发表+公布
sceptical,怀疑的（<美>）sceptical
scoop,抢先获得的新闻-利润等+勺子+铲子
section,部分+节
senior,年长的+高年级的+高级的
so as to (do sth),为了（做）……
submit,递交+呈递（文件等）
technical,技术上的+技巧方面的
technically,技术上+工艺上
thorough,彻底的+详尽的
unforgrttable,难忘的+永远记得的
unusual,不同寻常的+独特的
update,更新+使现代化
a number of,若干+许多
aid, 帮助+援助+资助
aid,帮助+援助+资助
ambulance,救护车
ankle,踝（关节）
apply,申请+请求+使用+有效 
apply, 涂+敷+搽+应用+运用+
bandage,绷带
barrier,屏障+障碍（物）
basin,盆地+盆
bleed,流血
bleed,流血
blister,水泡
blister,起泡
blister,（使）起泡
blouse,女衬衫
bravery,勇敢+勇气+
bruise, 瘀伤+擦伤
bruise, 瘀伤+擦伤
Casey,凯西（姓）
ceremony, 仪式+典礼+礼节
char, 烧焦
choke,噎住+窒息
choke,使噎住+使窒息
complex, 复杂的
cupboard,橱柜+衣柜
electric shock,触电+电休克
essential,最重要的+不可缺少的+本质的
fall ill,生病
firm,（动作）稳定有力的+坚定的
firmly,坚固地+稳定地
first aid,（对伤患者的）急救
heal,康复+化解
heal,（使）康复+（使）化解
in place,在适当的位置+适当
infection,传染+传染病+感染
injury,损害+伤害
Janson,詹森（姓）
kettle,（水）壶+罐
label,标签+标记
label,加标签或标记+分类
layer,层+层次
liquid,液体
make a difference,区别对待+有影响+起（重要）作用
mild,轻微的+温和的+温柔的
mildly,细微地+温和地
nerve, 神经+胆量
nosebleed,鼻出血+流鼻血
ointment,药膏+油膏
organ,器官
over and over again,反复+多次
pan,平底锅+盘子
poison,毒药+毒害 + 毒害
poison,（使）中毒
pour,倒+灌+注+涌
pour,倒+灌+注+涌
pressure,压力+挤压+压迫（感）
put one's hands on,找到
radiation,辐射+射线
ray,光线+射线
scheme,方案+计划
scissors,(pl.)剪刀
skin,皮+皮肤
Slade,斯莱德（姓）
sleeve,袖子
Southerton,萨瑟顿（姓）
sprain,扭伤 
sprained,扭伤的 
squeeze,榨+挤+压榨
squeeze, 榨+挤+压榨
squeeze out,榨出+挤出
stab,刺+戳+刺伤
stab, 刺+戳+刺伤
stove,炉子+火炉
swell,膨胀+隆起
swell,（使）膨胀+隆起
swollen,肿胀的
symptom,病状+征兆
temporary,暂时的+临时的
throat,喉咙+咽喉
tight,牢的+紧的+紧密的
tightly,紧地+牢牢地
tissue,（生物）组织+薄的织物+手巾纸
treat,款待+招待
treat,治疗+对待+款待
treat,治疗+对待+款待
unbearable, 难以忍受的+不能容忍的
variety,变化+多样（化）+多变（性）
vital,至关重要的+生死攸关的
watery,（似）水的
wrist,手腕
a great deal,大量
abstract,抽象的+深奥的
abstract,摘要
adopt,采用+采纳+收养
aggressive,敢作敢为的+侵略的+好斗的
aim,目标+目的
aim,瞄准+努力
aim,瞄准+努力
allergic,过敏性的
appeal,呼吁+恳求
appeal,有感染力+呼吁+求助
appeal,将…上诉
appeal to,（对某人）有吸引力+（使某人）感兴趣
attempt,努力+尝试+企图
attempt,尝试+企图
avenue,林荫道+道路+大街
bronze,青铜+青铜色
bunch,束+串
by coincidence,巧合地
café,咖啡馆+小餐馆
canvas,帆布+画布
carve,雕刻+刻记
circular,圆形的+环形的+循环的
civilization,文明+文化+文明国家
clay,黏土
coincidence,巧合
committee,委员会
consequently,所以+因而
contemporary,当代的+同时代的
controverial,争论的+争议的
conventional,常规的+传统的+因循守旧的
critic,评论家+批评家
delicate,脆弱的+容易生病的+精致的 
display,展示+陈列+显著
district,区+区域+行政区
effectively,有效地
Egypt,埃及
Egyptian,埃及的+埃及人的
evident,明显的+明白的
exhibiton,展览+陈列+展览会
faith,信任+信心+信念
faithfully,忠实地
figure,画像+身材+数字
flesh,肉+肌肉+肉体
fragile,精细的+易碎的+脆弱的
fragrant,香的+令人愉快的
gallery,美术陈列室+画廊
geometry,几何学
Giotto di Bondone ,乔托
Guggenheim Museum,古根海姆博物馆
humanistic,人道主义的
impressionism,印象主义+印象派
impressionist,印象派的
impressionist,印象派艺术家
in the flesh,活着的+本人
landscape,风景+景色
Leonardo da Vinci,列奥纳多.达.芬奇（意大利著名画家）
Madison,麦迪逊
Manhattan,曼哈顿岛+曼哈顿区（纽约市中心）
marble,大理石
masterpiece,杰作+名著
Matisse,马蒂斯（法国画家）
metropolitan,主要都市的+大城市的
Michelangelo,米开朗琪罗
Mona Lisa,梦娜.丽莎（达.芬奇所作的一幅著名肖像画）
Monet,莫奈（法国画家）
on the other hand,另一方面
permanent,永久的+持久的
perspective,透视画法+透视图+观点
Picasso,毕加索（西班牙画家）
possess,拥有+具有+支配
possession,所有+财产
post-impressionist,后印象派的
post-impressionist,后印象派艺术家
predict                                           ,预言+预测
preference,喜爱+偏爱
realistic,现实主义的+逼真的+现实的
renaissance,新生+复兴+复活
reputation,名声+名誉
ridiculous,荒谬的+可笑的
scholar,学者
sculptor,雕刻家+雕塑家
sculpture,雕塑
shadow,阴影+影子
signature,署名 +签字
specific,确切的+特定的
superb,卓越的+杰出的+极好的
technique,技术+方法+技能
the Renaissance,文艺复兴（时期）
typical,典型的+有代表性的
visual,视觉的+看得见的
Whiteney,惠特尼
appropriate,适当的+正当的+
await,等候+期待
bare,赤裸的+光秃的+稀少的
bare,最基本的要素
be make up of ,由……构成
billy-goat,公山羊
blank,空白的+茫然的
blank,空白
branch,枝条+支流+部门
brass,黄铜+黄铜器
bride,新娘
bridegroom,新郎
brimful,盈满的+满到边际的
cement,水泥
championship,冠军称号
cinquain,五行石
coffin,棺材
compass,指南针+罗盘+（复数）圆规
concrete,具体的
contradictory,引起矛盾的+好反驳的
convey,传达+运送
cottage,村社+小屋
diamond,钻石+菱形
diploma,毕业文凭+学位证书
droop,低垂+凋萎+萎靡
emotion,情感+情绪+感情
endless,无穷的+无止境的
eventually,最后+终于
exchange,交换+交流+互换
exchange,调换+交换
exchange,调换+交换
flexible,灵活的+可弯曲的+柔顺的
forever,永远
haiku,俳句
hush,安静下来
hush,（使某人）安静下来
in particular,尤其+特别
kitten,小猫
let out,发出+放走
librarian,图书馆馆长+图书馆管理员
load,负担+负荷物（尤指沉重的）
melt(melted+melted+molten),融化+溶化+软化
minimum,最低限度+最少量+
mockingbird,嘲鸫
nursery,托儿所 
nursery rhyme,童谣
pattern,模式+式样+团
pianist,钢琴家+钢琴演奏者
poetry,诗（总称）+诗意
repetition,重复+反复+循环
revolve,旋转
revolve,(使）旋转
rhyme,韵+押韵+押韵的词
rhythmic,有节奏的+有规律的
run out of ,用完
salty,含盐的+咸的
scholarship,奖学金+学问+学术成就
section,部分+节+切下的块
sorrow,悲伤+悲痛+懊悔
sparrow,麻雀
sponsor,赞助人+主办者+倡议者
sponsor,发起+举办+倡议
squire,乡绅
stem,茎+干
syllable,音节
take it easy,轻松+不紧张+从容
tease,取笑+招惹+戏弄
tease,取笑+招惹+戏弄
tick,给……标记号
transform,转化+转换+改造+变换
transform,转化+转换+改造+变换
translation,翻译+译文
try out,测试+试验
utter,说+讲+发出（声音）
violinist,小提琴演奏者
warmth,暖和+温暖
abnormal,畸形的+异常的
abortion,流产+中途失败
abuse,滥用+虐待
abuse,滥用+虐待
accustom,使习惯于
accustomed,惯常的+习惯了的
accustomed to,习惯于。。。
addicted,入了迷的+上了瘾的
addicted to,对。。。上瘾
adolescence,青春期
adolescent,青少年的
adolescent,青少年
AIDS,艾滋病（后天免疫缺损综合症）
alcohol,酒+酒精
alcoholic,酒精的
appendix,附录+附件
ashamed,感到惭愧或羞耻的
at risk,处境危险+遭受危险
automatic,无意识的+自动的
automatically,无意识地+自动地
awkward,局促不安的+笨拙的
bad-tempered,脾气暴躁的+易怒的
ban,禁令+谴责
ban,禁止+取缔
breathless,气喘吁吁的+屏息的
chemist,药剂师+化学家
chewing gum,口香糖
cigar ,雪茄烟
cigarette,香烟+纸烟
comprehension,理解（力）
condom,避孕套
decide on,对。。做出决定
desperate,绝望的+拼命的
disappointed ,失望的+沮丧的
disco,迪斯科舞会+迪斯科舞厅
due,欠款的+预定的+到期的
due to,由于。。。
effect,结果+效力
embarrassed,尴尬的+陷入困境的
etc ,诸如此类的事物+等等
famale,女性的+雌性的
feel like (doing),想要（做）。。。
fitness,健康
fluid,流体+液体
get into,陷入+染上（坏习惯）
gum,树胶
HIV,人体免疫缺损病毒（艾滋病病毒）
homosexual,同性恋
illegal,不合法的+违法的
immune,有免疫力的
in spite of,不顾+不管
inject,注射
injection,注射+注射剂
judgement,看法+判决+判断
lung,肺
male,男性的+雄性的
mental,精神的+智力的
mentally ,精神上+智力上
needle,针+（注射器的）针头
nicotine,尼古丁
obesity,(过度）肥胖+肥胖症
packet,小包+小盒
pill,药丸+药片
predudice,偏见+成见
pregnant,怀孕的
quit,停止（做某事）+离开
relaxation,放松+松驰
resolve,决心+决定
robbery,抢劫+盗窃
SARS,非典型性肺炎（严重急性呼吸道综合症）
sex ,性+性别
sexual,性的+性别的
slippery,滑的
spill,溢出+洒落
strengthen,变强
strengthen,加强+巩固+使坚强
stress,压力+重音
stress,加压力于+使紧张
stressful,产生压力的+紧张的
survival,幸存+幸存者
take risks,冒险
tough,困难的+强硬的
unfit,不健康的+不合适的+不合格的
weaken,(对某事的决心）动摇+减弱
weaken,（使）变弱
withdrawal,收回+撤退+戒毒（或脱瘾）过程
,同性恋的
,男人+雄性动（植）物
,磁性的动（植）物+女人
,使溢出+使洒落
advocate,拥护+提倡+主张
and so on,等等
appliance,用具+工具+器具
Armstrong,阿姆斯特朗（姓）
average,平均的
be opposed to,反对……
blank,空白的+空虚的
byproduct,副产品
can,容器+罐头
casual,随便的+漫不经心的+偶然的
catastrophe,大灾难+浩劫
Celsius,（温度）摄氏的
Charles Keeling,查尔斯.基林
circumstance,环境+情况
come about,发生+造成
commitment,承诺+交托+信奉
consequence,结果+后果+影响
consume,签署文件+捐助
contribution,贡献
data,资料+数据
disagreement,分歧+不一致
drought,旱灾+干旱
economical,节约的+经济的
educator,教育功作者+教育家
electrical,电的+与电有关的
enironmentalist,环境保护论者
environmental,环境的
even if,即使
existence,生存+存在
Fahrenheit,华氏的
Fahrenheit,华氏温度记
famine,饥荒
flood,洪水+水灾
Foster,福斯特（姓或男名）
fuel,燃料
